"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"HALD SØ, Vandkemi","30.07.2003 12.00.00 +02:00","Vandløb",8,520999,6247723,"Oxygen indhold"," =",4.8,"mg/l",2
"ARRESØ, kemi","11.08.2008 12.00.00 +02:00","Vandløb",1,693898,6209574,"Oxygenmætning"," =",103,"pct",2
"FURESØ, kemi","31.08.2022 12.00.00 +02:00","Vandløb",17,714083.9990448453,6189179.027232725,"Oxygenmætning","",3.7,"pct",1
"SEM SØ - vandkemi","23.08.2018 12.00.00 +02:00","Vandløb",0.2,566889,6276604,"Oxygenmætning"," =",81.3,"pct",3
"Sortesø /001, Fyn","06.08.2002 12.00.00 +02:00","Vandløb",1.5,583515,6108993,"Oxygen indhold"," =",0.1,"mg/l",2
"HALD SØ, Vandkemi","15.10.2002 12.00.00 +02:00","Vandløb",26,520999,6247723,"Oxygen indhold"," =",0.9,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","19.09.2001 12.00.00 +02:00","Vandløb",2,666003,6065651,"Oxygen indhold"," =",9.5,"mg/l",2
"TYSTRUP SØ, kemi","23.07.1996 12.00.00 +02:00","Vandløb",5.95,663916,6137795,"Oxygen indhold"," =",8.7,"mg/l",2
"STUBBERGÅRD SØ, Vandkemi","14.05.2009 12.00.00 +02:00","Vandløb",4.25,495462,6253704,"Oxygenmætning"," =",85,"pct",2
"STORMOSEN, kemi","12.07.1999 12.00.00 +02:00","Vandløb",1,708455,6181961,"Oxygen indhold"," =",7.4,"mg/l",2
"Jels Oversø - vandkemi","19.10.1993 12.00.00 +01:00","Vandløb",1.6,515695,6136936,"Oxygen indhold"," =",10.6,"mg/l",2
"SVOGERSLEV SØ ST 1","19.07.1988 12.00.00 +02:00","Vandløb",2,689013,6170343,"Oxygen indhold"," =",13.3,"mg/l",2
"SKÅNINGEDAM, kemi","24.06.2009 12.00.00 +02:00","Vandløb",0.5,720824,6219836,"Oxygenmætning"," =",122,"pct",2
"ALMINDSØ  ALM 1","16.03.1994 12.00.00 +01:00","Vandløb",7,534102,6222659,"Oxygen indhold"," =",14,"mg/l",2
"VEJLESØ, MIDT","10.04.2003 12.00.00 +02:00","Vandløb",0.2,717014,6190183,"Oxygenmætning"," =",115,"pct",2
"BUE SØ, kemi","17.04.1985 12.00.00 +02:00","Vandløb",2,688018,6170184,"Oxygenmætning"," =",97,"pct",2
"FIBO SØ, Vandkemi","28.04.2009 12.00.00 +02:00","Vandløb",0.98,474476,6211161,"Oxygen indhold"," =",10.1,"mg/l",1
"TEBSTRUP SØ","18.09.2025 12.00.00 +02:00","Vandløb",6.47,554539.9953826541,6201824.0415264685,"Oxygenmætning","",36.45,"pct",2
"STORE KATTINGE SØ, kemi","17.08.1999 12.00.00 +02:00","Vandløb",2,689552,6172212,"Oxygen indhold"," =",8.16,"mg/l",2
"VESSØ","17.08.2005 12.00.00 +02:00","Vandløb",7.5,548964,6214249,"Oxygenmætning"," =",63,"pct",2
"SØLLERØD SØ, kemi","24.06.1991 12.00.00 +02:00","Vandløb",0.1,718410,6190956,"Oxygen indhold"," =",18.7,"mg/l",2
"Vedsted Sø - vandkemi","18.10.1999 12.00.00 +02:00","Vandløb",1,523233,6116144,"Oxygenmætning"," =",77.3,"pct",2
"TJELE LANGSØ, Vandkemi","14.09.2011 12.00.00 +02:00","Vandløb",12,538029,6265253,"Oxygenmætning"," =",73,"pct",2
"Vedsted Sø - vandkemi","16.08.1999 12.00.00 +02:00","Vandløb",7.02,523233,6116144,"Oxygenmætning"," =",18.3,"pct",2
"Langesø /002","09.08.2004 12.00.00 +02:00","Vandløb",1,575712,6143790,"Oxygenmætning"," =",147,"pct",2
"TORUP SØ - vandkemi","18.06.2002 12.00.00 +02:00","Vandløb",0.99,526958,6208210,"Oxygen indhold"," =",15.5,"mg/l",2
"LØVENHOLM LANGSØ,NORDBASS-LØV2","09.09.2015 12.00.00 +02:00","Vandløb",2.99,592105,6257551,"Oxygen indhold"," =",6.1,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","12.08.1998 12.00.00 +02:00","Vandløb",0.5,504515,6211704,"Oxygen indhold"," =",10.9,"mg/l",2
"Arreskov Sø /004","06.07.1998 12.00.00 +02:00","Vandløb",0.5,583299,6113387,"Oxygen indhold"," =",10.6,"mg/l",2
"SØBYGÅRD SØ - vandkemi","22.04.1991 12.00.00 +02:00","Vandløb",0,550066,6234790,"Oxygen indhold"," =",16.71,"mg/l",2
"NORS SØ - vandkemi","19.03.2024 12.00.00 +01:00","Vandløb",6.03,476200.98624243616,6320964.953877215,"Oxygen indhold","",12.7886,"mg/l",2
"Grarup Sø - vandkemi","21.07.1977 12.00.00 +01:00","Vandløb",1.5,537729,6119934,"Oxygen indhold"," =",9.2,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","12.09.2012 12.00.00 +02:00","Vandløb",18.98,552519,6218243,"Oxygen indhold"," =",0,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","03.08.2005 12.00.00 +02:00","Vandløb",2,552519,6218243,"Oxygen indhold"," =",10.2,"mg/l",2
"Store Ibjerg Sø (Grusgravssø 4.2)/001","18.05.2021 12.00.00 +02:00","Vandløb",4.08050251007,595982.1261515385,6130956.194420778,"Oxygen indhold","",12.5002002716,"mg/l",2
"MOVSØ, Vandkemi","19.04.2006 12.00.00 +02:00","Vandløb",4,513946,6253458,"Oxygen indhold"," =",11,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","07.06.1989 12.00.00 +02:00","Vandløb",0.2,504515,6211704,"Oxygenmætning"," =",91,"pct",2
"Råstofsø NØ for Rødekro (G36) - vandkemi","13.07.2021 12.00.00 +02:00","Vandløb",0.2,523624.9999800728,6104547.003759449,"Oxygen indhold"," =",9.04,"mg/l",2
"ST.GRIB SØ","22.09.2004 12.00.00 +02:00","Vandløb",8,706078,6209294,"Oxygen indhold"," =",0.08,"mg/l",2
"Sjælsø vandudtag-6109","01.08.1995 12.00.00 +02:00","Vandløb",1,716611,6196672,"Oxygen indhold"," =",9.8,"mg/l",1
"Nørresø, Fyn /004, sediment","12.10.1989 12.00.00 +01:00","Vandløb",1,587900,6112247,"Oxygen indhold"," =",9.8,"mg/l",2
"FURESØ, kemi","08.08.1996 12.00.00 +02:00","Vandløb",1,714084,6189179,"Oxygen indhold"," =",10.9,"mg/l",2
