"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"FURESØ, kemi","17.08.2022 12.00.00 +02:00","Sø",13,714083.9990448453,6189179.027232725,"Oxygen indhold","",2.08,"mg/l",1
"Arreskov Sø /004","18.06.2013 12.00.00 +02:00","Sø",0.2,583299,6113387,"Oxygenmætning"," =",105,"pct",2
"KLOSTERENG LERGRAV NORD - vandkemi","29.05.2017 12.00.00 +02:00","Sø",6.5,552329,6322816,"Oxygen indhold"," =",0,"mg/l",3
"SØTORUP SØ, kemi","04.08.2022 12.00.00 +02:00","Sø",21,689418.9998399746,6132094.003719082,"Oxygen indhold","",0,"mg/l",2
"UTTERSLEV MOSE, VESTLIG BASSIN","21.09.1993 12.00.00 +02:00","Sø",0.5,719439,6179850,"Oxygen indhold"," =",14.7,"mg/l",2
"ULSE SØ, kemi","12.09.2019 12.00.00 +02:00","Sø",8.49,691219,6132094,"Oxygenmætning"," =",13.86,"pct",3
"ARRESØ, kemi","23.05.2012 12.00.00 +02:00","Sø",4.5,693898,6209574,"Oxygenmætning"," =",85,"pct",2
"FURESØ, kemi","11.04.2012 12.00.00 +02:00","Sø",2,714084,6189179,"Oxygenmætning"," =",108,"pct",2
"HALD SØ, Vandkemi","11.03.2004 12.00.00 +01:00","Sø",27,520999,6247723,"Oxygen indhold"," =",13.8,"mg/l",2
"KNUD SØ, ØST - Kemistation","10.02.2004 12.00.00 +01:00","Sø",5,547982,6217718,"Oxygenmætning"," =",96,"pct",2
"Vedsted Sø - vandkemi","13.09.1988 12.00.00 +02:00","Sø",11.2,523233,6116144,"Oxygen indhold"," =",7.5,"mg/l",2
"NORS SØ - vandkemi","24.05.2018 12.00.00 +02:00","Sø",10,476319,6320842,"Oxygen indhold"," =",7.68,"mg/l",3
"Hals sø amts st","26.06.2025 12.00.00 +02:00","Sø",0.2,572865.9999388815,6254128.003554598,"Oxygenmætning"," =",69.08,"pct",2
"VÆNG SØ","17.10.1996 12.00.00 +02:00","Sø",0.2,540840,6210187,"Oxygenmætning"," =",75,"pct",2
"FURESØ, kemi","13.05.2004 12.00.00 +02:00","Sø",10.28,714084,6189179,"Oxygen indhold"," =",11.63,"mg/l",2
"Nysø v. Slagelse","22.08.2011 12.00.00 +02:00","Sø",0.2,652390,6139342,"Oxygen indhold"," =",9.76,"mg/l",2
"MARIBO SØNDERSØ, kemi","06.05.2002 12.00.00 +02:00","Sø",0.2,661571,6070255,"Oxygen indhold"," =",10.83,"mg/l",2
"TRYGGELEV NOR VEST MC ST 2","06.03.1997 12.00.00 +01:00","Sø",2.2,606770,6073340,"Oxygen indhold"," =",12.3,"mg/l",2
"SØHOLM SØ /001","29.09.1997 12.00.00 +02:00","Sø",11,571863,6125861,"Oxygenmætning"," =",0,"pct",2
"OLLERUP SØ AMTST.1","02.05.1991 12.00.00 +02:00","Sø",0.5,594808,6103529,"Oxygenmætning"," =",142,"pct",2
"TRYGGELEV NOR VEST MC ST 2","08.05.2003 12.00.00 +02:00","Sø",0.3,606770,6073340,"Oxygen indhold"," =",18.7,"mg/l",2
"TEBSTRUP SØ","24.07.2008 12.00.00 +02:00","Sø",2.6,554540,6201824,"Oxygenmætning"," =",92,"pct",2
"SØHOLM SØ /001","16.01.2008 12.00.00 +01:00","Sø",14.5,571863,6125861,"Oxygenmætning"," =",92,"pct",2
"DALLERUP SØ  - vandkemi","02.05.1988 12.00.00 +02:00","Sø",2,552914,6185555,"Oxygen indhold"," =",14,"mg/l",2
"VIBORG SØNDERSØ, Vandkemi","26.06.2025 12.00.00 +02:00","Sø",2.99,525588.9933013516,6255242.917412858,"Oxygen indhold","",6.39,"mg/l",2
"FLYNDERSØ, SYDLIGE DEL, Vandkemi","28.07.2003 12.00.00 +02:00","Sø",8.9,493249,6259883,"Oxygenmætning"," =",0,"pct",2
"GENTOFTE SØ AMT ST","10.06.2008 12.00.00 +02:00","Sø",0.8,721775,6183717,"Oxygen indhold"," =",10.1,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","19.05.2009 12.00.00 +02:00","Sø",9.97,552519,6218243,"Oxygen indhold"," =",11.5,"mg/l",2
"HINGE SØ - vandkemi","05.11.2003 12.00.00 +01:00","Sø",0.2,531019,6234743,"Oxygen indhold"," =",11.2,"mg/l",2
